PHP5.5	Languages	Old PHP version	-2	HOLD
PHP7	Languages	New PHP version	1.7	ADOPT
Python	Languages		1.6	ADOPT
Go	Languages		1.8	ADOPT
JavaScript	Languages		1.8	ADOPT
OpenAPI (Swagger)	Languages		1.8	ADOPT
Symfony 2	Techniques; Frameworks & Tools		-2	HOLD
Symfony 3.2	Techniques; Frameworks & Tools		1.7	ADOPT
Symfony 4.1	Techniques; Frameworks & Tools		1.4	TRIAL
NODE.JS	Techniques; Frameworks & Tools		1.6	ADOPT
Puppet	Platforms & Infrastructure		-2	HOLD
Kubernetes	Platforms & Infrastructure		1.8	ADOPT
Docker	Platforms & Infrastructure		1.8	ADOPT
Nginx	Platforms & Infrastructure		1.8	ADOPT
AWS Lambda	Platforms & Infrastructure		-0.1	ASSESS
AWS S3	Data Mgt		2	ADOPT
AWS SNS/SQS	Data Mgt		2	ADOPT
Redis	Data Mgt		2	ADOPT
Elasticsearch	Data Mgt		2	ADOPT
RabbitMQ	Data Mgt		1.4	TRIAL